HikeName	AuthorName	TrailConditions	Road	Bugs	Snow	ReportText	DateHiked	Url
Redmond Watershed Preserve	karnage	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	took the kids out for a little hike today. We left from the main lot and headed up the Trillium trail to the first Junction, where we turned right and then followed it back down to the Powerline Trail and to the car.  It's just a little under 2 miles. The trail is is clear and in great shape, we only saw two other people while we were out today. The huckleberries are done at this point, but it was an enjoyable little hike anyway.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.3903070298
Grand Park via Lake Eleanor	Marmac	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	I'm not sure why people are mentioning the road because it's in good condition for a hiking road.  I have a larger car, but would feel fine in a smaller sedan - just a bit of a washboard at time.  There are plenty of bugs so use bug spray liberally.  The trail is great and those views of Rainier are unbelievable.  Also, there are fields and fields of wildflowers.  This is a beautiful hike, I will return in the fall when the foliage is turning.  	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.9331629067
Grand Park via Lake Eleanor	Marmac	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	I'm not sure why people are mentioning the road because it's in good condition for a hiking road.  I have a larger car, but would feel fine in a smaller sedan - just a bit of a washboard at time.  There are plenty of bugs so use bug spray liberally.  The trail is great and those views of Rainier are unbelievable.  Also, there are fields and fields of wildflowers.  This is a beautiful hike, I will return in the fall when the foliage is turning.  	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.9331629067
Mount St. Helens - Monitor Ridge	UsuallyLurking	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	We got to Climber's Bivuoac the night before and got to bed early for an early start. We ended up hitting the trail around 5:45 am and I'd suggest hitting it that early or even a little bit earlier. During most of the hike up we were shaded by the ridge which combined with a breeze kept us cool. The real hard part was the last 1/3 of the way up with exposed large rocks to scramble over, and lots of ash at the end. Nothing was technically hard but it was a long slog.  No views due to fires but you could see in to the crater which was cool and made it worth it!  The way down was much harder than the way up. Not only were we tired but the sun was high enough now that it was warmer and there was no shade until we got back in to the trees.  I didn't wear gloves or gaiters and thought they were unnecessary, but my mom wore gloves and really liked them. No rangers checking out permits that day, but our car broke down at the trial head so we ended up hanging out around there all the next day waiting for a tow. Three rangers showed up then and we chatted with them a bit - they said they'd be checking permits at least 4 days a week, and we saw them writing up a ticket for a woman who'd left her permit at home. So make sure you bring the printed out permit with you! The rangers were also super helpful in getting a tow for our car, thank you rangers!	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-14.7998205629
Skagit River	ToddlerTrekking	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	A great wander in the shade of the forest, we hiked this on a sweltering 90+ degree day while camping at Newhalem. It is a great trail for the kiddos, just watch any wild little ones near some of the river access points. If you do the loop starting from the campground, it is pretty much flat. If you go to the Visitor Center, you will have a descent sized hill to hike up. Its not hard but in the heat it was not our favorite part. After the trail, stop in the air conditioned visitor center to become a junior ranger and climb on the giant slug! This summer, my four-year-old son and I are hiking to raise money for Washington Trails Association. Please consider donating to one of our Hike-A-Thons at the below links. Thank you and Happy Hiking!	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-14.0417482830
Mount St. Helens - Monitor Ridge	jennabailey54	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Got to the trail head at 845 and got to the top by about 12. The sign posts on the trail are incredibly helpful so trail finding was not an issue.  The first part part of the hike in the woods is very pleasant. I found the next section of about two mile of climbing boulders to be the most challenging. After that the last leg of the trail is very steep and feels like hiking In sand. I would recommend trekking poles for this portion.  It it was a very hot day 90s. I was in hiking pants and a tank top and felt that was perfect. There was a nice breeze the whole way up and I did not get cold at the top. The rest of my group wore shorts and were equally comfortable, so I think it’s just personal preference I prefer pants for protection from rocks, bugs and sun.  The rocks get hotter as the day goes on so keep that in mind when timing your hike. Bring more water than you think you need!   Unfortunately it was very hazy due to the forest fires, but the view inside the volcano was incredible, and the whole landscape felt like the land before time, very cool.  	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-13.1327669340
Skagit River	Freckledsunshine	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Set out on a hike with toddlers. Time to get those hike a thon miles in. The trailhead refers to this trail as the riverside loop trail. You can take the loop in either direction. We turned to the right and headed into the woods  the trail quickly became a forest full of ferns and moss and lots of shade. Found a good spot for the kids to enjoy the water, do be careful the river is deep and wide and fast. We opted not for the sand barge spots in the begining but found a safer spot further down. Kids enjoyed observing and holding an inchworm and then we turned a corner and saw where a fire had hit the area. It was eerie to see and the kids were full of questions. This stretch was very hot not shady and not as fascinating as the lush green section. We ended our hike at the visitor center where the kids got the answers to the million questions.  Help support wta hike a thon give.wta.org/Maggielou	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-10.4746277492
Palouse to Cascades Trail - The Tunnel	tdoyley	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	We set off to "beat the heat " and find the light at the end of the tunnel.  The coolness of the darkness was much welcomed to our group. We didn't even need long sleeves! But a light is a necessity for this hike. We saw several bicyclists and a few other hikers. The tunnel itself offers some imagination of a time long ago and what it must of been like for the men who built it.  The glory days of people traveling up to the mountains during the winter on a train .  Now we walk and bicycle what was once a busy track for a several ton engine.   There are 4 tables after you have exited the westside of tunnel and a clean outhouse .  The views are nice and you can go further on John Wayne Pioneer trail to explore  before turning around.  We clocked 6 miles and enjoyed the day.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.0225012851
Melakwa Lake	Bangarang Boy	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Good Hike, it was definitely a hot day. Sun exposure in some areas on the way up. Fairly rocky trail for part of the ascent. Bugs aren't terrible, but definitely a nuisance at the lake. Pristine water, great for swimming on hot days. Good views of Kaleetan and Chair Peak.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.7166859763
Kelcema Lake	austineats	Trail in good condition	Road impassable/closed	No bugs	Snow free	After hiking to Helena Peak in today's 90 degree heat, we chose to take a dip. Kalcema Lake was just perfect. The trail is short and well worn. Clearly heavily loved when the road reached this far. The water was warm. The Deer Creek Road is washed out and it is another 2 miles past the washout to the trail head. There were plentiful berries. The skies a bit hazy. There are good campsites directly on the lake. It is sad to see trail heads become inaccessible through road closures. But, without funding, mother nature will just reclaim what is hers.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.3739491057
Melakwa Lake	vashonjg	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	This was a great hike. I got an early start, 7AM, so I was in the shade most of the way up. It was plenty hot on the way down. Some bugs but my picaridin spray worked very well. The lakes were beautiful. Major disappointment. Some IDIOT had built a fire in a stone ring right by upper Melakwa lake. It seemed out and may have been there for weeks but I poured water on it just in case. Why someone would do this in a area marked no campfires when there have been so many wildfires is beyond me. Please be careful.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.1858567553
Yellow Lake	EmilB	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	At 2 PM on a sunny Wednesday, we found ample parking at the pool off of 244th.  See the additional link for a trail map. Pluses: - Wildlife: We saw a diverse armada of waterfowl around the dock; a bunny with a mouthful of nesting moss; downy and pileated woodpeckers  ; a Douglas squirrel.  This is the most wildlife I've seen on a short walk south of Canada. - Trees: The lake is ringed by impressive second growth; some big trunks really dazzle.  We also saw notable collections of cedar and fir. Minuses: - If you are looking for a place to walk your dog off-leash with water access, this isn't the place.  There is a lot of traffic, you are hemmed in by houses along some stretches, despite the lake there is no water access (the dock is fully-fenced), and it is a wildlife protection area. - It is definitely a woodland walk in a neighborhood (although admittedly an impressive one).  You will not mistake this for a wilderness experience. Per Garmin,  .	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.5525443834
Nada Lake	tiffanyc	Obstacles on trail:	    Trees down across trail,	    Muddy or wet trail,	    Overgrown in places.		Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.6221860449
The Enchantments	tiffanyc	Obstacles on trail:	    Trees down across trail,	    Difficult stream crossing(s),	    Muddy or wet trail,	I'll give a quick summary of each day here, with more details in separate trip reports.    Got to the Stuart/Colchuck trailhead to a full parking lot around 7:00 on a Wednesday morning. Trail up to Colchuck Lake was straightforward, but gets rocky after the junction fork to Stuart. Took about 3 hours with our packs.  Climb to Aasgard was really hard with our backpacking packs. Starts out with larger boulders to maneuver over, then becomes steep dirt and rock scree. Views of Colchuck are amazing. Lots of mosquitoes.  Set up camp near Isolation & Tranquil Lakes, where there are lots of mountain goats and views of surrounding peaks.  Woke up early to catch the sunrise at Little Annapurna. "Official" trail is difficult to follow with occasional cairns -- basically a rock scramble to the top. Views are phenomenal. Tons of mosquitoes.  Inspiration, Perfection, and Sprite Lakes are beautiful. All of them would be great to camp around, but we continued to Leprechaun. T Woke up early to catch the sunrise at Prusik Pass. Again, "official" trail is hard to stay on with very few cairns, and also a rock scramble. Many mosquitoes. Sunrise was nice, but it was better at Gnome Tarn. Beautiful views of Prusik Peak.  Moved camp to Lake Viviane, which was a popular camping/lunch place. Took a side trip to Temple Lake, requiring a small hike up the knoll between Viviane and Temple. Quiet lake to wade in and hammock around.  Woke up because the wind was insane and blowing our tent away. Moved camp to Lower Snow Lake, passing Upper Snow Lake. Upper has a lot of beach area to camp on, but if it's windy, it's probably not the best idea. Some iffy rock scrambles on the way down to Snow Lakes, especially for people with packs.  Hiked past Nada Lake, which was occasionally a rock scramble, but a lot of it is dirt trail under tree cover. Super long 6 or 7 miles back to the Snow Zone trailhead. Not too many super steep parts in my opinion, but definitely a slog given how long it is, especially with all of those switchbacks near the trailhead. 	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.4237627852
Eldorado Peak	madelynnscherrer	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Trail snow-covered at times - gear and expertise recommended	My friend Erin, and I went for a two-day approach of Eldorado peak, and we got lucky with nice weather and good trail conditions! First off, the real route-finding crux of the approach really is within the first hundred feet of the road with log crossings over the Cascade River. While there are cairns roughly marking the logs to cross, I would suggest referring to buritoburito's trip report on May 27, 2018. They have pictures and descriptions which made it so that we didn't even have to search very hard - so thank you buritoburito! Once you cross these logs, and you find the trailhead sign, the path is pretty straightforward, albeit STEEP until the boulderfeilds. Once you are at the boulderfields, the "path" isn't too straightforward, and there are cairns speckled throughout the fields. Here, there isn't really a "right" way up, you'll get to the right spot no matter which cairns you follow! We found it nicer to follow the cairn trail to the climbers right of the fields however, as this "trail" would occasionally become a dirt path every once in a while - which we appreciated! As for , the first one we encountered this time of year was a waterfall at apx. 5,000 ft. which was just at the top of the boulderfields (see pic below) but after this, there was plenty of water on the rest of the approach. Getting across the ridge was pretty straightforward, with now snow this time of year, and well marked with cairns. It was at about 6,000ft. Once you are over the ridge, the "trail" is again pretty nondescript, but if you stick to the climbers right side of the area, and follow the cairns that are there, you'll be in good shape for the glacier portion. My climbing partner and I ended up camping at 6,400ft. due to it being late in the day, however this seemed to work well for us, as this put us just below the glacier with lots of water sources. The only difficulty was finding a flat spot, but after some searching we found a decent spot and slept well.  We decided that for this climb we didn't need a super early alpine start, so we got up at 4:30am and started walking just as dawn was breaking. We stuck to climbers right of the glacier, and the route was really straightforward and smooth. Nothing really notable until the ridge, where we chose to stay on snow as long as we could, and had to cross onto the rocks just below an opening crevasse. There are plenty of places to cross over. The ridge was very stable and felt very secure for both the ascent and descent. (See pic below). We brought pickets for protection, and used them mostly for peace of mind on the ridge, but really not incredibly necessary. No notable crevasse crossings either (only two little slivers before high camp).  Overall a great day in the mountains, which left us sore, tired, happy, and in awe that we live in such a beautiful state!  (Side note: I did download a GPS route from summitpost (see link below) and this was accurate and reassuring when we needed it!)	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-10.0864564718
Pinnacle Peak	Birdman	Obstacles on trail:	    .	Road suitable for all vehicles	No bugs	Obtained a cross country permit for an overnight in the Zone east of Pinnacle Peak. Trail in great shape to the end of the maintained section. Headed east toward Pinnacle Pk and The Castle. Tried to get around Castle but may have been on the wrong route as I ran into some very steep scrambling so headed back toward Pinnacle. Saw a boot track on the east of Pinnacle and decided to explore. It leads to, for me, a very precarious boot track down a slot to a small tarn which looked like a super spot to spend the night. Warm, sunny, gentle breeze, and total solitude to enjoy some wonderful views including the night sky and some falling stars. Note: take your time on the boot track!	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.7033822379
Tolmie Peak Lookout - Eunice Lake	TiffanyBerry	Trail in good condition	Road rough but passable	Bugs were terrible	Snow free	Did this with my 8yo and 3yo (who is still carried a fair amount) on a hot day with so very many bugs.  The bugs weren't biting a lot, but they were thick.   Don't let the "gradual elevation" fool you - parts of this are a climb, or if you're 3yo, a scramble.  We opted not to do the additional route to the lookout (see the "carried 3yo" part), but it was nice to make it to the lake, even if our stop was cut short by mosquitoes.  The fire lookout is impressive looking even from the lake.  If you come, bring plenty of water, but there is a fair amount of shade along the way (for Rainier), which is nice.  There are drop-offs to one side, so if you are bringing kids that don't honor that danger, be aware of the potential problems. Berries weren't ripe yet - neither thimbleberry or huckleberry - but perhaps in another two or three weeks.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.3000267796
Iron Goat Trail	Muledeer	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	If you are interested in railroad history, this is the trail. I took my brother on this hike for hikeathon, it seemed a good choice on a hot day. We started from the Red Caboose  (Interpretive Center) and hiked to Wellington. First, I recommend doing those switchbacks on the Windy Point crossover trail early. When you get to the top, before you start towards Wellington, detour to the path leading to the tunnel end on the left. The air is cool coming out of the tunnel with a nice breeze. Along the trail to Wellington, the waterfalls that come off the snowshed walls were pretty much gone, only one small one was flowing. The vegetation is high and there are a few stickery plants. There is some trail in forest, but much of the trail is exposed and today it was hot. The snowsheds that you can walk thru were a welcome blast of cool air. When you get to the old townsite follow the trail past the parking lot that leads to the end of the tunnel that went under the mtn pass. There used to be a trail to it, but after flooding and washouts it is deemed unsafe to enter. This was a great hike for history, but I think the overall hike is much better in late spring, clearer views and blooming trillium.  Nice in the fall  on a cloudy day for some mushroom photography also. 	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.7352710751
Sharpe Park - Sares Head	Quantum Guru	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	This was another hike in our explorations of trails in the Anacortes area. My hiking buddy Marin and I both are relative newcomers to the area. Today we made our first visit to Sharpe Park. It helped to download a trail map from   https://www.skagitcounty.net/ParksAndRecreation/Documents/misc/Parks/Trail_Map_handout2.pdf Paper copies of the map were available at the trailhead today, but might not always be found there. A vintage signboard near the trailhead shows an out-of-date trail map that has fewer trails and older trail names -- it's not helpful at all. Fortunately, signs along the trails agree with the new map. We set out on the signed Sares Head Trail and soon approached Fox Pond. Much of the pond is choked with cattails. A short spur trail to the right (Calypso Trail) did not offer much in the way of views. We could see more of the pond from farther along on the Sares Head Trail (A bit of open water, some lily pads and a few yellow lily flowers. No ducks were visible today.) We passed junctions with the Porpoise Point and Shelley Loop Trails and continued on. We did the same at junctions with the Sunburst Trail and the other end of the Shelley Loop Trail. We soon arrived at the open, rocky headland of the Sares Head Overlook, 0.77 miles from the trailhead. It has a convenient bench that we had all to ourselves. The views there are incredible, although more distant views - to the Olympics for example -were somewhat obscured by smoke from regional forest fires. Closer to shore we could see fishing boats, likely Native American, setting out nets. We continued on the Broom-Tomb loop Trail, an 0.56-mile loop that drops, then regains, some 170 feet of elevation. Parts of this trail seemed rather steep and minimal, although the route was never in doubt. Part way around it comes to the Machin Overlook, another viewpoint with a convenient bench (We also had this one to ourselves.) We noted, down on the water, additional fishing boats setting out nets, and also a small flotilla of kayakers near Northwest Island. We continued on the Broom-Tomb Loop Trail. (It resumes a few feet to the front and right of the bench. Do not confuse it with a prominent social trail that disappears into the woods to the rear of the bench, leads past a white chair, and may head toward a residence just outside the park.) We soon rejoined our incoming Sares Head Trail and followed it back to our trailhead. We hope to explore other park trails that lead to the Montgomery-Durban Headlands on another park visit. Except for a few birds we saw no wildlife today. Most of the wildflower season has past, although we did note a few late-blooming avens, buttercups, and foam flowers in the forest area, plus some pearly everlasting in very sunny areas.	Aug 08, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.1261636528
Suntop Lookout	CiscoKitty	Trail in good condition	Road rough but passable	Bugs were an annoyance	Snow free	Decided to stop here on my way home from camping near Rainier. I wanted a short hike since the last 2 were longer and the heat takes a toll on you.  Drove the "rough in areas" forest road to the locked gate. I had no idea if it would be open. I had told myself I was going to drive to the top and not hike but I was forced to hike from the gate, .6 miles, and in the long run I am grateful for that.  The lookout was unlocked so I got to go inside and peak around. Signed the log book and enjoyed a shade break. I ended up wandering all around the top. The view are stunning but with the wildfire smoke it was hazy. It was incredible to see the dark band on the horizon knowing that it was smoke! The view of Rainier here is stunning. Had it not been hazy from smoke it is possible to see Adams and St Helens. Next time hopefully. 	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.6837280296
Paradise	Jennekehikes	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Decided to wander around Paradise at sunset to catch the evening colors and wildflowers. Thankfully much of the crowds had already dispersed, and we had much of the trail to ourselves. We made a quick loop from the Paradise Inn, clockwise on Skyline to the Avalanche Lily Trail, back along Waterfall Trail to hit Skyline again and end at Myrtle Falls as the sun was going down. Wildflowers are out, but not as stunning a display as I have seen in previous years. Lupine seem to be finished in the lower elevations, some Indian Paintbrush are out, Asters are starting to bloom and look like will be popping very soon. We had word of a bear on trail above Myrtle Falls but did not see it. FYI: A portion of Alta Vista is currently closed for repair (see picture below)	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-10.8634655412
Narada Falls to Reflection Lakes	audg86	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Lots of people on the short trail to Narada Falls, and even more at Reflection Lakes, but just a handful of people on the trail between the two. Made for a nice chance to get away from the crowds.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.3201289624
Dewey Lake	Puyallup Pilgrim	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	See my blog page for a report of me and my grandson spending a night together at the lake. 	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.1396350092
Lake Dorothy - Lake Bear - Lake Deer	HeatherJasper	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	The 9 miles of dirt road is a bit rough in spots but I didn't have any trouble driving it in a Prius. My car has very low clearance but I didn't have any problem with the potholes or rocks on the road. The trail has clearly been worked on recently and is in great shape. If you have short legs or are hiking with children be prepared for the steps on the trail to feel like very big stairs. The bridge is beautiful and the stream has the most perfect swimming hole immediately downstream of the bridge. Closer to Lake Dorothy there are lots of huckleberries right along the trail. We didn't have any trouble with mosquitoes but there were some biting flies at the lake. This didn't stop us from getting in the water. It's perfectly clear and just the right temperature. We didn't go past Lake Dorothy or spend the night, but I appreciated the map of the lake and campsites that is posted by the trail junction where you can choose to go to the outlet or inlet spurs or to continue on hiking.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.0621507974
Granite Creek Trail to Granite Lakes	KimN	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Husband and I did this hike with our bad to the bone 7 year old. You park at the end of the road at a small parking lot. We got there at 9am and it was already half full on a weekday. Nice bathrooms at the parking lot. We choose to ride bikes on the Carbon River road to the campground where you find the trailhead to the Carbon Glacier. The road for bike riding is good, with a slight incline which you feel if you can't shift (little kid bike). Had to walk the bikes through a few rough areas of washout where it was very rocky or had deep sand. Tons of old growth trees. Took us an hour to get to the trailhead. At the campground there are bike racks to lock up bikes.  The hike had very little bugs, we did see bear scat and bear prints so prepare with bear spray. The trail had very little people. Just wanted to add more detail to the detour. The detour has you cross a log bridge on the Carbon River. From there you still need to navigate over two 6ft wide off springs from the river by crossing by foot over the big rocks. Look for the stacks/pile of rocks to help navigate the trail. We were glad to have hiking poles to help with the crossing of the river. Once out of the rocky river bed (keep following the stacks of rocks) you head east, then go up some switch backs. At the top of the switchbacks you head south again towards the glacier.  The suspension bridge is a lot of fun, and the view of the glacier is pretty cool.  The hikes elevation gain was easy and mostly steady. The best part was bike riding back, barely had to pedal. 	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.8999542533
Lake Ann (Mount Baker Highway)	Merritt	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Intermittent snow - not hard to cross	Video attached. I Arrived at the TH about 9:30am. Lots of parking. No privy at the TH, so if you are wanting to avoid unpleasantness on the hike, go just around the corner to Artist Point to do so. This is one of those rare hikes that is...."Uphill, both ways".  I quickly descended into the valley. The first mile or so is through forest, so shade was appreciated. Blueberries the entire route, but still perhaps a week or 2 off before being ripe. I found 3 bushes near Swift Creek that were ripe. After Swift Creek, it was all uphill, and all in direct sun. Gain was steady but not hard. The remainder of the route is through Talus and rock, so you spend quite a bit of time looking down at your footing. If you remember to check, the views of Mt. Baker are awesome from here. Lots of little streams, so at no point is obtaining water an issue. One teeny snow crossing at the saddle, and suddenly you are there - Lake Ann. Be warned - Lake Ann, although the name of the hike, is NOT the crown jewel of the trip - Mount Shuksan is simply breathtaking from here. Lots of campsites around the lake. I picked a spot near the outlet of the lake, for ease of water supply. I spent the remainder of the day staring at Shuksan, and then a bit of the night staring at the galaxy. What an incredible spot! There were 4 tents overnight, but I really only saw 4 people walking around while I was there. Still felt very isolated, which was the goal.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.8736825442
Bellevue Botanical Garden	pstanton	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Well maintained urban park. It is large enough that if you get further back along the trails you get the illusion of being truly in some wilderness. The garden has something for everyone: you can wander among the flowers, a Japanese garden, or go back into some untouched wilderness that includes a suspension bridge over a ravine.  I was comfortable walking the entire park in just flip-flops, as the paths are mostly well-maintained crushed gravel. Be aware that water fountains are limited to the central area, so you might want to carry some water with you on a hot day. There are plenty of benches scattered around for those in need of a rest, and there were plenty of seniors and young children about.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.7048187859
Noble Knob	lathrop fam	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	This hike was difficult to find, but like the last trip report said you CAN find it using wta directions. The details are left out and we made a few lucky guesses.  We came in from 410 and off fsrd 70 to 72. Fsrd 72 was 5.8miles in on rd 70 once you leave 410. We zipped right past it the first time bc wta said 7.2miles in and after arriving at green water lakes trail area realized we must have gone too far. We did and had missed the small sign on the left side of the road: fsrd 70.  Once on rd 72 and fsrd 7250 there are several intersections. Proceed straight through them all including the path with two gates (go through the yellow one here). At the T in the road, we guessed and got lucky, took the road to the left going up hill. This road eventually dead ends at the trailhead.  Once on the trail it was a little creepy going through the burned section. There are a few other trail you cross. The ranger creek trail joins in, then at a crossroads with coral pass the sign simply says rd 72-go up hill to the right on this. Once you’re up at the ridge line and the trail T’s go left. There is a bit of a scramble over rocks of down a steep path for 100ft here. Use caution but just continue on and the trail resumes. You can see several lakes as you round up to noble knob through the beautiful alpine meadow.  Once you’re on top it was worth all the crazy navigating! Simply stunning!	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.1048382114
Railroad Grade	dchk	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Road 12 still cratered especially at start. I am beginning to believe this is the forest service's passive aggressive way to deter crowds or get funding as this part of the road has had this problem for several seasons now. Road 13 much better, but does have some craters as well. This hike is in excellent condition. Today the dust was so dry that I found the footing a little slippery midday as temperatures rose. Smoke to south and east visible in distance but visibility locally very good, even down to Twin Sisters Range. My hike continued from the vicinity of the upper night camp location as a cross country visit of Deming Glacier Icefall. The canyon and icefall of this glacier may be the most awe-inspiring site on Baker.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.0155962402
Anderson and Watson Lakes	Alideats	Obstacles on trail:	    .	Road rough but passable	Bugs were terrible	Weekend Family Backpacking Trip to Watson Lake! The road is rough. We were in a pickup truck so we made it in ok. I would NOT take my Camry on this road! We headed out Friday afternoon in the mist. Trail was in good shape. My 9 year old had no problem carrying his 13lb. pack and navigating the trail. Hiked all the way into upper Watson Lake. Found a spot on the lake & set up camp. The bugs are terrible - constant from the am to the night. Lot's of mosquitos, annoying flys & super annoying gnats!	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.9663033338
Snow Lake	granitemountain	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Did a weekday overnighter and for the second year in a row for weekday, was the only person there.    Already lots of info on this hike, but I will add a few personal inputs.  Many people hike down to the lake and stop at the first lake access and consider that the end.   Everything gets better as you continue and it is under two miles to Gem Lake.  You don't need to go all the way there to enjoy all this but it is a great destination.  The trail continues up the lake and the views get better and better.   After a bit, you ascend a ridge and the trail alternates between lakeside and dropping over with grande views of the Middle Fork Valley, the PCT area N. of the Katwalk, and eventually Snoqualmie Mountain towering overhead.  When it drops back lake side the views of Snow lake are great.  Eventually it reaches Gem Lake which is a worthy destination. Returned via Source Lake by following the spur trail upon ascending the lake basin at the next to last switchback prior to the big viewing rock at the ridge.  A longer trail but more gradual.  Do not attempt this earlier in the summer when the snow bridge at the source lake end is a snow cave you have to cross over.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.7635668394
Margaret Lake	RMiller	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Hiked on Saturday to Margaret Lake in the morning before Seafair events started.  Left Seattle at 7:00 and started hiking at 8:15.  Made it to the Lake at 9:30 and back to Seattle by noon (before I-90 closed for the Blue Angels).  Didn't notice flies or mosquitoes on the trail, just beautiful mist from the morning marine layer coming through the first rays of the sun.  The trail is in good shape and made for fast walking.  The trail down to the lake from the ridge was the only section where I was more careful with my footing.  The first mosquitoes showed up when we reached the lake shore.  Some prime campsites were available for overnighters.  On our way out we passed about 20 people starting to hike and the parking lot was full.  Overall really good hike.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.5303894875
Bruni's Snow Bowl Hut	Mare	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	A fun Girl's Night Out at Snow Bowl and Judy's Gazebo. The haze burned off for a clear night with the Milky Way overhead. 	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.8074480013
Tolmie Peak Lookout - Eunice Lake	nitalong	Trail in good condition	Road rough but passable	Bugs were an annoyance	Snow free	Weekday hike to Tolmie lookout- parked at Mowich Lake to start our ascent and stopped at Eunice lake along the way for lunch and a dip in the water. We encountered 4-5 other groups of people hiking the same trail and about 20 people at the lookout. Popular place to sit and admire Rainier while grabbing a bite. That last mile up to the lookout was the most challenging but definitely worth it. This is a solid intermediate hike and will be back again before the end of summer.	Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.5208027803
Lake 22	Nicole Prukop	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free		Aug 07, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.1500346946
